sequence_name,max_consecutive,name,score,evalue,alignments
SARS-CoV-2-conservedstructured-11,1,hsa-miR-380-5p,62.0,11.0,|
SARS-CoV-2-conservedstructured-11,10,hsa-miR-938,61.0,13.0,||||||||||
SARS-CoV-2-conservedstructured-11,4,hsa-miR-1193,61.0,13.0,||||
SARS-CoV-2-conservedstructured-11,12,hsa-miR-122-3p,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-11,4,hsa-miR-507,59.0,20.0,||||
SARS-CoV-2-conservedstructured-11,4,hsa-miR-4480,59.0,20.0,||||
SARS-CoV-2-conservedstructured-12,12,hsa-miR-7843-3p,61.0,13.0,||||||||||||
SARS-CoV-2-conservedstructured-12,1,hsa-miR-10522-5p,60.0,16.0,|
SARS-CoV-2-conservedstructured-12,3,hsa-miR-4711-5p,59.0,20.0,|||
SARS-CoV-2-conservedstructured-12,1,hsa-miR-29b-1-5p,58.0,24.0,|
SARS-CoV-2-conservedstructured-12,7,hsa-miR-3664-5p,58.0,24.0,|||||||
SARS-CoV-2-conservedstructured-12,2,hsa-miR-6885-5p,57.0,29.0,||
SARS-CoV-2-conservedstructured-12,2,hsa-miR-10522-5p,43.0,420.0,||
SARS-CoV-2-conservedstructured-12,7,hsa-miR-3664-5p,41.0,616.0,|||||||
SARS-CoV-2-conservedstructured-13,3,hsa-miR-559,78.0,0.52,|||
SARS-CoV-2-conservedstructured-13,11,hsa-miR-4720-5p,61.0,13.0,|||||||||||
SARS-CoV-2-conservedstructured-13,9,hsa-miR-5002-5p,60.0,16.0,|||||||||
SARS-CoV-2-conservedstructured-13,6,hsa-miR-4680-3p,58.0,24.0,||||||
SARS-CoV-2-conservedstructured-13,4,hsa-miR-548d-3p,56.0,35.0,||||
SARS-CoV-2-conservedstructured-13,5,hsa-miR-655-3p,56.0,35.0,|||||
SARS-CoV-2-conservedstructured-13,1,hsa-miR-559,48.0,161.0,|
SARS-CoV-2-conservedstructured-13,4,hsa-miR-4720-5p,47.0,195.0,||||
SARS-CoV-2-conservedstructured-13,3,hsa-miR-5002-5p,47.0,195.0,|||
SARS-CoV-2-conservedstructured-13,3,hsa-miR-655-3p,39.0,904.0,|||
SARS-CoV-2-conservedstructured-14,6,hsa-miR-181d-5p,70.0,2.4,||||||
SARS-CoV-2-conservedstructured-14,3,hsa-miR-548u,70.0,2.4,|||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548d-5p,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548m,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548ay-5p,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548ad-5p,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548ae-5p,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548bb-5p,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,9,hsa-miR-548bb-3p,64.0,7.5,|||||||||
SARS-CoV-2-conservedstructured-14,1,hsa-miR-1277-5p,63.0,9.1,|
SARS-CoV-2-conservedstructured-14,6,hsa-miR-181b-5p,61.0,13.0,||||||
SARS-CoV-2-conservedstructured-14,8,hsa-miR-1277-5p,55.0,42.0,||||||||
SARS-CoV-2-conservedstructured-14,3,hsa-miR-1277-5p,52.0,75.0,|||
SARS-CoV-2-conservedstructured-14,2,hsa-miR-1277-5p,49.0,133.0,||
SARS-CoV-2-conservedstructured-14,4,hsa-miR-548bb-5p,45.0,287.0,||||
SARS-CoV-2-conservedstructured-14,4,hsa-miR-548bb-3p,45.0,287.0,||||
SARS-CoV-2-conservedstructured-14,1,hsa-miR-1277-5p,44.0,347.0,|
SARS-CoV-2-conservedstructured-14,7,hsa-miR-181d-5p,41.0,616.0,|||||||
SARS-CoV-2-conservedstructured-14,3,hsa-miR-548d-5p,41.0,616.0,|||
SARS-CoV-2-conservedstructured-14,3,hsa-miR-548ay-5p,41.0,616.0,|||
SARS-CoV-2-conservedstructured-14,3,hsa-miR-548ad-5p,41.0,616.0,|||
SARS-CoV-2-conservedstructured-14,3,hsa-miR-548ae-5p,41.0,616.0,|||
SARS-CoV-2-conservedstructured-14,2,hsa-miR-548d-5p,40.0,747.0,||
SARS-CoV-2-conservedstructured-14,2,hsa-miR-548m,40.0,747.0,||
SARS-CoV-2-conservedstructured-14,2,hsa-miR-548ay-5p,40.0,747.0,||
SARS-CoV-2-conservedstructured-14,2,hsa-miR-548ad-5p,40.0,747.0,||
SARS-CoV-2-conservedstructured-14,2,hsa-miR-548ae-5p,40.0,747.0,||
SARS-CoV-2-conservedstructured-14,1,hsa-miR-1277-5p,39.0,904.0,|
SARS-CoV-2-conservedstructured-14,1,hsa-miR-548bb-5p,39.0,904.0,|
SARS-CoV-2-conservedstructured-14,1,hsa-miR-548bb-3p,39.0,904.0,|
SARS-CoV-2-conservedstructured-15,6,hsa-miR-549a-5p,68.0,3.5,||||||
SARS-CoV-2-conservedstructured-15,3,hsa-miR-5009-5p,63.0,9.1,|||
SARS-CoV-2-conservedstructured-15,2,hsa-miR-153-5p,62.0,11.0,||
SARS-CoV-2-conservedstructured-16,4,hsa-miR-6822-3p,70.0,2.4,||||
SARS-CoV-2-conservedstructured-16,8,hsa-miR-20b-5p,68.0,3.5,||||||||
SARS-CoV-2-conservedstructured-17,13,hsa-miR-224-5p,65.0,6.2,|||||||||||||
SARS-CoV-2-conservedstructured-17,8,hsa-miR-545-5p,60.0,16.0,||||||||
SARS-CoV-2-conservedstructured-17,4,hsa-miR-3606-3p,57.0,29.0,||||
SARS-CoV-2-conservedstructured-17,1,hsa-miR-8059,56.0,35.0,|
SARS-CoV-2-conservedstructured-18,1,hsa-miR-499a-5p,64.0,7.5,|
SARS-CoV-2-conservedstructured-18,1,hsa-miR-499b-3p,64.0,7.5,|
SARS-CoV-2-conservedstructured-18,1,hsa-miR-199b-5p,59.0,20.0,|
SARS-CoV-2-conservedstructured-19,6,hsa-miR-5696,57.0,29.0,||||||
SARS-CoV-2-conservedstructured-19,2,hsa-miR-513a-3p,56.0,35.0,||
SARS-CoV-2-conservedstructured-19,9,hsa-miR-3929,56.0,35.0,|||||||||
SARS-CoV-2-conservedstructured-19,10,hsa-miR-4506,56.0,35.0,||||||||||
SARS-CoV-2-conservedstructured-19,6,hsa-miR-5011-3p,56.0,35.0,||||||
SARS-CoV-2-conservedstructured-19,2,hsa-miR-513c-3p,56.0,35.0,||
SARS-CoV-2-conservedstructured-19,1,hsa-miR-6833-5p,56.0,35.0,|
SARS-CoV-2-conservedstructured-19,1,hsa-miR-4506,47.0,195.0,|
SARS-CoV-2-conservedstructured-19,1,hsa-miR-3929,46.0,237.0,|
SARS-CoV-2-conservedstructured-19,7,hsa-miR-3929,42.0,509.0,|||||||
SARS-CoV-2-conservedstructured-19,6,hsa-miR-513a-3p,41.0,616.0,||||||
SARS-CoV-2-conservedstructured-19,6,hsa-miR-513c-3p,41.0,616.0,||||||
SARS-CoV-2-conservedstructured-21,1,hsa-miR-1245b-3p,65.0,6.0,|
SARS-CoV-2-conservedstructured-21,6,hsa-miR-548f-5p,65.0,6.0,||||||
SARS-CoV-2-conservedstructured-21,1,hsa-miR-1282,63.0,8.8,|
SARS-CoV-2-conservedstructured-21,5,hsa-miR-548bc,60.0,16.0,|||||
SARS-CoV-2-conservedstructured-21,1,hsa-miR-4423-5p,59.0,19.0,|
SARS-CoV-2-conservedstructured-21,3,hsa-miR-10523-5p,59.0,19.0,|||
SARS-CoV-2-conservedstructured-21,1,hsa-miR-1245b-3p,40.0,717.0,|
SARS-CoV-2-conservedstructured-21,2,hsa-miR-548f-5p,39.0,868.0,||
SARS-CoV-2-conservedstructured-21,1,hsa-miR-10523-5p,39.0,868.0,|
SARS-CoV-2-conservedstructured-22,4,hsa-miR-1252-5p,65.0,6.2,||||
SARS-CoV-2-conservedstructured-22,2,hsa-miR-6868-3p,61.0,13.0,||
SARS-CoV-2-conservedstructured-22,4,hsa-miR-9903,58.0,24.0,||||
SARS-CoV-2-conservedstructured-22,1,hsa-miR-942-5p,57.0,29.0,|
SARS-CoV-2-conservedstructured-22,3,hsa-miR-3182,57.0,29.0,|||
SARS-CoV-2-conservedstructured-22,1,hsa-miR-4468,57.0,29.0,|
SARS-CoV-2-conservedstructured-22,2,hsa-miR-5188,56.0,35.0,||
SARS-CoV-2-conservedstructured-22,1,hsa-miR-1252-5p,49.0,133.0,|
SARS-CoV-2-conservedstructured-22,4,hsa-miR-3182,48.0,161.0,||||
SARS-CoV-2-conservedstructured-22,5,hsa-miR-1252-5p,47.0,195.0,|||||
SARS-CoV-2-conservedstructured-22,1,hsa-miR-942-5p,46.0,237.0,|
SARS-CoV-2-conservedstructured-22,2,hsa-miR-9903,42.0,509.0,||
SARS-CoV-2-conservedstructured-22,5,hsa-miR-1252-5p,41.0,616.0,|||||
SARS-CoV-2-conservedstructured-22,6,hsa-miR-5188,41.0,616.0,||||||
SARS-CoV-2-conservedstructured-22,7,hsa-miR-1252-5p,39.0,904.0,|||||||
SARS-CoV-2-conservedstructured-22,4,hsa-miR-3182,39.0,904.0,||||
SARS-CoV-2-conservedstructured-23,5,hsa-miR-5688,69.0,2.9,|||||
SARS-CoV-2-conservedstructured-23,2,hsa-miR-4764-5p,66.0,5.1,||
SARS-CoV-2-conservedstructured-23,10,hsa-miR-3121-3p,65.0,6.2,||||||||||
SARS-CoV-2-conservedstructured-23,6,hsa-miR-3675-3p,65.0,6.2,||||||
SARS-CoV-2-conservedstructured-23,12,hsa-miR-4679,62.0,11.0,||||||||||||
SARS-CoV-2-conservedstructured-23,3,hsa-miR-150-5p,60.0,16.0,|||
SARS-CoV-2-conservedstructured-23,4,hsa-miR-5700,57.0,29.0,||||
SARS-CoV-2-conservedstructured-23,2,hsa-miR-6780b-5p,57.0,29.0,||
SARS-CoV-2-conservedstructured-23,6,hsa-miR-5688,46.0,237.0,||||||
SARS-CoV-2-conservedstructured-23,1,hsa-miR-150-5p,40.0,747.0,|
SARS-CoV-2-conservedstructured-23,2,hsa-miR-3121-3p,39.0,904.0,||
SARS-CoV-2-conservedstructured-24,14,hsa-miR-548aw,70.0,2.4,||||||||||||||
SARS-CoV-2-conservedstructured-24,1,hsa-miR-5004-5p,59.0,20.0,|
SARS-CoV-2-conservedstructured-24,3,hsa-miR-758-3p,56.0,35.0,|||
SARS-CoV-2-conservedstructured-24,3,hsa-miR-5004-5p,44.0,347.0,|||
SARS-CoV-2-conservedstructured-24,8,hsa-miR-548aw,40.0,747.0,||||||||
SARS-CoV-2-conservedstructured-25,3,hsa-miR-301b-3p,58.0,24.0,|||
SARS-CoV-2-conservedstructured-26,12,hsa-miR-7843-3p,61.0,13.0,||||||||||||
SARS-CoV-2-conservedstructured-26,2,hsa-miR-92a-1-5p,58.0,24.0,||
SARS-CoV-2-conservedstructured-26,1,hsa-miR-29b-1-5p,58.0,24.0,|
SARS-CoV-2-conservedstructured-26,10,hsa-miR-8066,58.0,24.0,||||||||||
SARS-CoV-2-conservedstructured-27,13,hsa-miR-4491,65.0,6.2,|||||||||||||
SARS-CoV-2-conservedstructured-27,7,hsa-miR-153-3p,63.0,9.1,|||||||
SARS-CoV-2-conservedstructured-27,12,hsa-miR-425-5p,62.0,11.0,||||||||||||
SARS-CoV-2-conservedstructured-27,3,hsa-miR-5692a,60.0,16.0,|||
SARS-CoV-2-conservedstructured-27,2,hsa-miR-153-3p,53.0,62.0,||
SARS-CoV-2-conservedstructured-27,3,hsa-miR-4491,47.0,195.0,|||
SARS-CoV-2-conservedstructured-28,1,hsa-miR-202-5p,65.0,6.2,|
SARS-CoV-2-conservedstructured-28,3,hsa-miR-5009-5p,63.0,9.1,|||
SARS-CoV-2-conservedstructured-29,7,hsa-miR-7854-3p,63.0,9.1,|||||||
SARS-CoV-2-conservedstructured-29,6,hsa-miR-4307,62.0,11.0,||||||
SARS-CoV-2-conservedstructured-29,9,hsa-miR-181d-5p,61.0,13.0,|||||||||
SARS-CoV-2-conservedstructured-29,2,hsa-miR-4423-5p,59.0,20.0,||
SARS-CoV-2-conservedstructured-29,9,hsa-miR-4307,45.0,287.0,|||||||||
SARS-CoV-2-conservedstructured-29,5,hsa-miR-4307,41.0,616.0,|||||
SARS-CoV-2-conservedstructured-29,2,hsa-miR-7854-3p,41.0,616.0,||
SARS-CoV-2-conservedstructured-29,1,hsa-miR-4307,39.0,904.0,|
SARS-CoV-2-conservedstructured-30,9,hsa-miR-3122,61.0,13.0,|||||||||
SARS-CoV-2-conservedstructured-30,7,hsa-miR-6755-3p,57.0,29.0,|||||||
SARS-CoV-2-conservedstructured-31,3,hsa-miR-1206,63.0,9.1,|||
SARS-CoV-2-conservedstructured-31,4,hsa-miR-4502,60.0,16.0,||||
SARS-CoV-2-conservedstructured-31,4,hsa-miR-4502,48.0,161.0,||||
SARS-CoV-2-conservedstructured-31,2,hsa-miR-1206,45.0,287.0,||
SARS-CoV-2-conservedstructured-32,6,hsa-miR-5696,57.0,29.0,||||||
SARS-CoV-2-conservedstructured-32,9,hsa-miR-3929,56.0,35.0,|||||||||
SARS-CoV-2-conservedstructured-32,10,hsa-miR-4506,56.0,35.0,||||||||||
SARS-CoV-2-conservedstructured-32,2,hsa-miR-513c-3p,56.0,35.0,||
SARS-CoV-2-conservedstructured-32,7,hsa-miR-3929,42.0,509.0,|||||||
SARS-CoV-2-conservedstructured-32,6,hsa-miR-513c-3p,41.0,616.0,||||||
SARS-CoV-2-conservedstructured-33,2,hsa-miR-29b-3p,59.0,20.0,||
SARS-CoV-2-conservedstructured-33,4,hsa-miR-4521,59.0,20.0,||||
SARS-CoV-2-conservedstructured-33,5,hsa-miR-3973,57.0,29.0,|||||
SARS-CoV-2-conservedstructured-34,8,hsa-miR-20b-5p,68.0,3.4,||||||||
SARS-CoV-2-conservedstructured-34,12,hsa-miR-4521,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-35,4,hsa-miR-6715b-3p,60.0,16.0,||||
SARS-CoV-2-conservedstructured-35,5,hsa-miR-335-3p,57.0,29.0,|||||
SARS-CoV-2-conservedstructured-36,8,hsa-miR-20b-5p,68.0,3.4,||||||||
SARS-CoV-2-conservedstructured-36,12,hsa-miR-4521,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-36,5,hsa-miR-20a-5p,59.0,19.0,|||||
SARS-CoV-2-conservedstructured-36,1,hsa-miR-5588-5p,59.0,19.0,|
SARS-CoV-2-conservedstructured-37,4,hsa-miR-5683,60.0,16.0,||||
SARS-CoV-2-conservedstructured-37,5,hsa-miR-450a-1-3p,57.0,29.0,|||||
SARS-CoV-2-conservedstructured-37,2,hsa-miR-921,56.0,35.0,||
SARS-CoV-2-conservedstructured-37,6,hsa-miR-5683,49.0,133.0,||||||
SARS-CoV-2-conservedstructured-37,6,hsa-miR-450a-1-3p,41.0,616.0,||||||
SARS-CoV-2-conservedstructured-37,3,hsa-miR-450a-1-3p,39.0,904.0,|||
SARS-CoV-2-conservedstructured-38,1,hsa-miR-4644,62.0,11.0,|
SARS-CoV-2-conservedstructured-38,2,hsa-miR-6739-5p,57.0,29.0,||
SARS-CoV-2-conservedstructured-38,4,hsa-miR-4644,42.0,509.0,||||
SARS-CoV-2-conservedstructured-39,2,hsa-miR-642a-3p,64.0,7.5,||
SARS-CoV-2-conservedstructured-39,2,hsa-miR-642b-5p,64.0,7.5,||
SARS-CoV-2-conservedstructured-39,4,hsa-miR-642a-5p,62.0,11.0,||||
SARS-CoV-2-conservedstructured-39,4,hsa-miR-642b-3p,62.0,11.0,||||
SARS-CoV-2-conservedstructured-39,10,hsa-miR-514b-3p,57.0,28.0,||||||||||
SARS-CoV-2-conservedstructured-39,1,hsa-miR-642a-5p,45.0,284.0,|
SARS-CoV-2-conservedstructured-39,1,hsa-miR-642b-3p,45.0,284.0,|
SARS-CoV-2-conservedstructured-39,1,hsa-miR-642a-3p,45.0,284.0,|
SARS-CoV-2-conservedstructured-39,1,hsa-miR-642b-5p,45.0,284.0,|
SARS-CoV-2-conservedstructured-39,3,hsa-miR-642a-5p,43.0,416.0,|||
SARS-CoV-2-conservedstructured-39,3,hsa-miR-642b-3p,43.0,416.0,|||
SARS-CoV-2-conservedstructured-39,3,hsa-miR-642a-3p,43.0,416.0,|||
SARS-CoV-2-conservedstructured-39,3,hsa-miR-642b-5p,43.0,416.0,|||
SARS-CoV-2-conservedstructured-40,9,hsa-miR-548ad-3p,57.0,29.0,|||||||||
SARS-CoV-2-conservedstructured-40,9,hsa-miR-548al,57.0,29.0,|||||||||
SARS-CoV-2-conservedstructured-40,3,hsa-miR-6869-3p,55.0,42.0,|||
SARS-CoV-2-conservedstructured-41,2,hsa-miR-582-5p,58.0,17.0,||
SARS-CoV-2-conservedstructured-41,1,hsa-miR-1256,57.0,20.0,|
SARS-CoV-2-conservedstructured-41,4,hsa-miR-582-3p,56.0,24.0,||||
SARS-CoV-2-conservedstructured-41,1,hsa-miR-582-5p,43.0,294.0,|
SARS-CoV-2-conservedstructured-41,1,hsa-miR-582-3p,43.0,294.0,|
SARS-CoV-2-conservedstructured-42,3,hsa-miR-122b-3p,63.0,9.1,|||
SARS-CoV-2-conservedstructured-42,12,hsa-miR-4424,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-42,1,hsa-miR-199b-5p,59.0,20.0,|
SARS-CoV-2-conservedstructured-42,6,hsa-miR-4670-5p,59.0,20.0,||||||
SARS-CoV-2-conservedstructured-42,6,hsa-miR-4670-3p,59.0,20.0,||||||
SARS-CoV-2-conservedstructured-42,11,hsa-miR-4424,55.0,42.0,|||||||||||
SARS-CoV-2-conservedstructured-42,1,hsa-miR-122b-3p,44.0,347.0,|
SARS-CoV-2-conservedstructured-42,5,hsa-miR-4670-5p,42.0,509.0,|||||
SARS-CoV-2-conservedstructured-42,5,hsa-miR-4670-3p,42.0,509.0,|||||
SARS-CoV-2-conservedstructured-42,2,hsa-miR-122b-3p,39.0,904.0,||
SARS-CoV-2-conservedstructured-43,4,hsa-miR-544a,57.0,29.0,||||
SARS-CoV-2-conservedstructured-43,6,hsa-miR-544a,44.0,347.0,||||||
SARS-CoV-2-conservedstructured-44,5,hsa-miR-9-5p,64.0,6.6,|||||
SARS-CoV-2-conservedstructured-44,3,hsa-miR-4802-3p,60.0,14.0,|||
SARS-CoV-2-conservedstructured-44,12,hsa-miR-548as-3p,60.0,14.0,||||||||||||
SARS-CoV-2-conservedstructured-44,2,hsa-miR-9-5p,44.0,305.0,||
SARS-CoV-2-conservedstructured-46,4,hsa-miR-146a-3p,59.0,20.0,||||
SARS-CoV-2-conservedstructured-46,3,hsa-miR-8088,58.0,24.0,|||
SARS-CoV-2-conservedstructured-46,4,hsa-miR-3133,57.0,29.0,||||
SARS-CoV-2-conservedstructured-46,1,hsa-miR-5186,57.0,29.0,|
SARS-CoV-2-conservedstructured-46,2,hsa-miR-3133,52.0,75.0,||
SARS-CoV-2-conservedstructured-46,9,hsa-miR-3133,45.0,287.0,|||||||||
SARS-CoV-2-conservedstructured-47,2,tca-miR-3810-3p,77.0,0.62,||
SARS-CoV-2-conservedstructured-47,2,prd-miR-7945-5p,71.0,2.0,||
SARS-CoV-2-conservedstructured-47,1,sma-miR-8405-3p,68.0,3.5,|
SARS-CoV-2-conservedstructured-47,4,oni-miR-10768,67.0,4.2,||||
SARS-CoV-2-conservedstructured-47,6,pca-miR-6039-3p,67.0,4.2,||||||
SARS-CoV-2-conservedstructured-47,9,hsa-miR-2054,66.0,5.1,|||||||||
SARS-CoV-2-conservedstructured-47,2,tca-miR-137-5p,65.0,6.2,||
SARS-CoV-2-conservedstructured-47,3,mdo-miR-7312-5p,65.0,6.2,|||
SARS-CoV-2-conservedstructured-47,4,nve-miR-2025-5p,64.0,7.5,||||
SARS-CoV-2-conservedstructured-47,8,mdo-miR-7312-3p,64.0,7.5,||||||||
SARS-CoV-2-conservedstructured-47,2,sme-miR-2c-5p,63.0,9.1,||
SARS-CoV-2-conservedstructured-47,4,hsa-miR-6515-5p,63.0,9.1,||||
SARS-CoV-2-conservedstructured-47,1,bmo-miR-2769,62.0,11.0,|
SARS-CoV-2-conservedstructured-47,1,hco-miR-5968,61.0,13.0,|
SARS-CoV-2-conservedstructured-47,10,mmu-miR-7216-3p,61.0,13.0,||||||||||
SARS-CoV-2-conservedstructured-47,3,dvi-miR-9547-3p,61.0,13.0,|||
SARS-CoV-2-conservedstructured-47,9,dme-miR-10404-3p,61.0,13.0,|||||||||
SARS-CoV-2-conservedstructured-47,1,tca-miR-304,60.0,16.0,|
SARS-CoV-2-conservedstructured-47,12,cin-miR-4163-5p,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-47,2,tca-miR-3825-3p,60.0,16.0,||
SARS-CoV-2-conservedstructured-47,1,oan-miR-7407-3p,60.0,16.0,|
SARS-CoV-2-conservedstructured-47,12,prd-miR-7868-5p,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-47,3,stu-miR8046-5p,60.0,16.0,|||
SARS-CoV-2-conservedstructured-47,2,atr-miR8616,60.0,16.0,||
SARS-CoV-2-conservedstructured-47,8,cfa-miR-8801,60.0,16.0,||||||||
SARS-CoV-2-conservedstructured-47,12,pal-miR-6119-5p,60.0,16.0,||||||||||||
SARS-CoV-2-conservedstructured-47,2,gma-miR10423,60.0,16.0,||
SARS-CoV-2-conservedstructured-47,4,osa-miR5157a-5p,59.0,20.0,||||
SARS-CoV-2-conservedstructured-47,7,osa-miR5157a-3p,59.0,20.0,|||||||
SARS-CoV-2-conservedstructured-47,4,osa-miR5157b-5p,59.0,20.0,||||
SARS-CoV-2-conservedstructured-47,7,osa-miR5157b-3p,59.0,20.0,|||||||
SARS-CoV-2-conservedstructured-47,4,mdo-miR-7296-3p,59.0,20.0,||||
SARS-CoV-2-conservedstructured-47,3,pab-miR11422a,59.0,20.0,|||
SARS-CoV-2-conservedstructured-47,3,pab-miR11422b,59.0,20.0,|||
SARS-CoV-2-conservedstructured-47,10,dme-miR-79-3p,58.0,24.0,||||||||||
SARS-CoV-2-conservedstructured-47,10,dps-miR-79,58.0,24.0,||||||||||
SARS-CoV-2-conservedstructured-47,10,aga-miR-79,58.0,24.0,||||||||||
SARS-CoV-2-conservedstructured-47,2,gga-miR-1452,58.0,24.0,||
SARS-CoV-2-conservedstructured-47,10,bmo-miR-79-3p,58.0,24.0,||||||||||
